implementation,phase,concurrency,requests,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_rps
cgi,sequential,1,100,375.514,371.947,406.871,432.979,299.689,436.937,2.66
servlet,sequential,1,100,2.632,2.281,3.422,6.299,1.545,23.617,373.40
cgi,concurrent,1,100,384.848,380.079,425.358,456.890,306.654,468.113,2.60
cgi,concurrent,2,100,361.345,363.419,391.365,397.282,261.565,400.020,5.53
cgi,concurrent,5,100,388.758,388.679,417.996,447.025,324.433,459.517,12.77
cgi,concurrent,10,100,435.435,433.255,489.697,505.894,347.487,511.114,22.64
cgi,concurrent,20,100,648.915,647.499,726.004,797.001,508.182,804.166,29.90
cgi,concurrent,40,100,1158.105,1138.457,1645.550,1715.049,555.125,1752.712,30.68
servlet,concurrent,1,100,2.339,2.040,3.752,5.386,1.477,18.344,420.26
servlet,concurrent,2,100,2.637,1.972,3.637,25.396,1.318,28.327,739.93
servlet,concurrent,5,100,2.327,1.957,4.382,5.567,1.338,5.692,2046.28
servlet,concurrent,10,100,3.519,3.478,5.729,6.290,1.061,7.164,2534.00
servlet,concurrent,20,100,4.314,3.724,9.142,11.013,1.119,12.308,2315.91
servlet,concurrent,40,100,3.785,2.732,9.668,14.709,1.329,25.011,1880.30
